id dela*,pogon kod,radni nalog,naziv dela*,karakteristika kontrole*,linija id*,masina id*,kom za kontrolu n*,slika/crtez,aktivan,napomena,tip kontrole,vozilo katalog id,greska katalog id
5502-A,G,RN-2024-002,Osovina,Merljive kontrola,7,,100,Osovina_SOP.jpg,DA,Pogon G — Masinska obrada,deo,,
DEMO-001,A,RN-2026-DEMO001,Test nosač — demo,Vizuelna kontrola ulazna,1,,50,DEMO-01.png,DA,Atributivne — pogon A,deo,,
DEMO-001,B,RN-2026-DEMO001,Test nosač — demo,Laser sečenje,2,3,50,DEMO-01.png,DA,Pogon B — Preseraj,deo,,
DEMO-001,F,RN-2026-DEMO001-F,,Završna kontrola,6,,,,DA,Pogon F — Završna,deo,,
MRAP-001,,,MRAP komplet,Finalna vizuelna kontrola celog vozila,48,1,5,MRAP_SOP.jpg,DA,MRAP — oklopno vozilo,vozilo,MRAP,
MRAP1-001,,,MRAP1 komplet,Finalna vizuelna kontrola celog vozila,48,1,5,MRAP1_SOP.jpg,DA,MRAP1 — oklopno vozilo 6x6,vozilo,MRAP1,
NM-001,A,RN-2026-NM001,Nosač motora,Vizuelna kontrola ulazna,1,,100,NM-01.png,DA,Pogon A — Ulazna kontrola,deo,,
NM-001,B,RN-2026-NM001,Nosač motora,Laser sečenje,2,3,100,NM-01.png,DA,Pogon B — Preseraj,deo,,
NM-001,C,RN-2026-NM001,Nosač motora,Geometrijska kontrola,3,,100,NM-01.png,DA,Atributivne — Karoserija,deo,,
NM-001,F,RN-2026-NM001,Nosač motora,Završna kontrola,6,,100,NM-01.png,DA,Pogon F — Završna,deo,,
NT-001,A,RN-2026-NT001-A,Nosač motora,Vizuelna kontrola ulazna,1,,50,nosac motora NTV.png,DA,Atributivne — Ulazna,deo,,
NT-001,B,RN-2026-NT001-B,Nosač motora,Laser sečenje,2,3,50,nosac motora NTV.png,DA,Pogon B — Preseraj,deo,,
NT-001,C,RN-2026-NT001-C,Nosač motora,Zavarivanje,3,,50,nosac motora NTV.png,DA,Atributivne — Karoserija,deo,,
NT-001,F,RN-2026-NT001-F,Nosač motora,Završna kontrola,6,,50,nosac motora NTV.png,DA,Atributivne — Finalna,deo,,
NTV-001,,,NTV komplet,Finalna vizuelna kontrola celog vozila,48,1,5,NTV_SOP.jpg,DA,NTV — novo terensko vozilo,vozilo,NTV,
